ID,Village,Pop,Source,State,Locality,X,Y,Remarks
780,Tondi,,Calculated,Northern,Halfa,30.552083,20.255,
781,Tugnan,,GPS,Northern,Halfa,30.433333,20.333333,
782,Wawa island,,GPS,Northern,Halfa,30.333333,20.433333,
783,Abri,,Calculated,Northern,Halfa,30.338253,20.788102,
784,Ferka east,,Calculated,Northern,Halfa,30.589349,20.901885,
785,Nakhi mahmud,,GPS,Northern,Halfa,30.380512,20.840786,
786,Kosha,,Calculated,Northern,Halfa,30.53217,20.82238,
787,Hamid,,Calculated,Northern,Halfa,30.291162,20.656173,
788,Qubbat salim,,GPS,Northern,Halfa,30.280521,20.562965,
789,Oshomatto,,Calculated,Northern,Halfa,30.335714,20.487657,
790,Wawa,,Calculated,Northern,Halfa,30.350299,20.43878,
791,Koya,,Calculated,Northern,Halfa,30.393693,20.333548,
792,Abu sari,,Calculated,Northern,Halfa,30.587119,20.278279,
793,Sudla,,Calculated,Northern,Halfa,30.535247,20.109438,
794,Shaddah,,Calculated,Northern,Halfa,30.552267,20.06351,
795,Abbudiya,,GPS,Northern,Halfa,30.316667,20.6,
796,Abraga,,GPS,Northern,Halfa,30.266667,20.583333,
797,Abri west,,Calculated,Northern,Halfa,30.308333,20.8,
798,Adbur island,,GPS,Northern,Halfa,30.556111,20.303889,
799,Agetteri,,GPS,Northern,Halfa,30.588056,20.101944,
800,Agger,,GPS,Northern,Halfa,30.466667,20.383333,
801,Aglash island,,GPS,Northern,Halfa,30.5525,20.104444,
802,Agula,,Calculated,Northern,Halfa,30.341667,20.4,
803,Attab west,,GPS,Northern,Halfa,30.45,20.833333,
804,Bajbol island,,GPS,Northern,Halfa,30.567778,20.088889,
805,Amara east,,GPS,Northern,Halfa,30.383333,20.8,
806,Amara west,,GPS,Northern,Halfa,30.383333,20.833333,
807,Arneti island,,GPS,Northern,Halfa,30.35,20.816667,
808,Arodin,,GPS,Northern,Halfa,30.316667,20.666667,
809,Dakhasa island,,GPS,Northern,Halfa,30.575833,20.998056,
810,Artimiri island,,GPS,Northern,Halfa,30.566389,20.075,
811,Asta en nabi,,GPS,Northern,Halfa,30.3,20.416667,
812,Delgo,,GPS,Northern,Halfa,30.561389,20.122778,
813,Doli island,,GPS,Northern,Halfa,30.572222,20.987222,
814,Gabal dush,,GPS,Northern,Halfa,30.266667,20.5,
815,Ferka west,,Calculated,Northern,Halfa,30.554028,20.915139,
816,Ferkinarti island,,GPS,Northern,Halfa,30.571389,20.901389,
817,Handika,,GPS,Northern,Halfa,30.483333,20.133333,
818,Gergetti island,,GPS,Northern,Halfa,30.433333,20.816667,
819,Ginis east,,GPS,Northern,Halfa,30.5,20.8,
820,Ginis west,,GPS,Northern,Halfa,30.5,20.833333,
821,Gorgod,,Calculated,Northern,Halfa,30.542083,20.164167,
822,Irau,,GPS,Northern,Halfa,30.35,20.516667,
823,Nubia,,GPS,Northern,Halfa,32,20,
824,Burg surkina,,GPS,Northern,Halfa,32.229722,20.939722,
825,Laqiyat umran,,GPS,Northern,Halfa,28.183333,19.9,
826,El gir,,GPS,Northern,Halfa,28.466667,19.833333,
827,Kabodi,,GPS,Northern,Halfa,30.4,19.733333,
828,Kabodi island,,GPS,Northern,Halfa,30.383333,19.716667,
829,Kabrinarti,,GPS,Northern,Halfa,30.416667,19.666667,
830,Kudayn,,GPS,Northern,Halfa,30.566667,19.966667,
831,Kulumbali island,,GPS,Northern,Halfa,30.37434,19.751806,
832,Kasakana,,GPS,Northern,Halfa,30.4,19.966667,
833,Melegab,,GPS,Northern,Halfa,30.383333,19.95,
834,Mahas,,Calculated,Northern,Halfa,30.542361,19.962222,
835,Markol,,GPS,Northern,Halfa,30.316667,19.95,
836,Mashakeila,,GPS,Northern,Halfa,30.466667,19.933333,
837,Musul,,GPS,Northern,Halfa,30.283333,19.816667,
838,Musul island,,GPS,Northern,Halfa,30.320391,19.798082,
839,Masida,,GPS,Northern,Halfa,30.383333,19.866667,
840,Sabu,,GPS,Northern,Halfa,30.55,19.933333,
841,Sadeik,,GPS,Northern,Halfa,30.333333,19.833333,
842,Sugden island,,GPS,Northern,Halfa,30.3,19.933333,
843,Tagab,,GPS,Northern,Halfa,30.283333,19.916667,
844,Taqab,,GPS,Northern,Halfa,30.3,19.716667,
845,Simit east,,GPS,Northern,Halfa,30.383333,19.8,
846,Simit island,,GPS,Northern,Halfa,30.340634,19.777161,
847,Simit west,,GPS,Northern,Halfa,30.25,19.75,
848,Tumbus,,GPS,Northern,Halfa,30.383333,19.7,
849,Defoi,,Calculated,Northern,Halfa,30.455075,19.95087,
850,Kagbar,,Calculated,Northern,Halfa,30.496743,19.942538,
851,Dagarti,,Calculated,Northern,Halfa,30.362912,19.700254,
852,Badin island,,GPS,Northern,Halfa,30.383333,19.666667,
853,Arduan,,GPS,Northern,Halfa,30.316667,19.916667,
854,Jezirat arduan,,GPS,Northern,Halfa,30.366667,19.916667,
855,Akkad,,GPS,Northern,Halfa,30.366667,19.666667,
856,Akur island,,GPS,Northern,Halfa,30.364071,19.770616,
857,Barqa,,GPS,Northern,Halfa,30.4,19.883333,
858,Fad east,,GPS,Northern,Halfa,30.416667,19.9,
859,Fad west,,GPS,Northern,Halfa,30.383333,19.916667,
860,Gaugul,,GPS,Northern,Halfa,30.333333,19.966667,
861,Geddi,,GPS,Northern,Halfa,30.533333,19.916667,
862,Hannek,,GPS,Northern,Halfa,30.366667,19.716667,
863,Habarab,,Calculated,Northern,Halfa,30.341667,19.891667,
864,Kerat,,GPS,Northern,El Dabbah,30.933333,18.066667,
865,Kakur,,GPS,Northern,El Dabbah,30.916667,18.1,
866,Karendiwai,,GPS,Northern,El Dabbah,30.883333,18.133333,
867,Karmakol,,GPS,Northern,El Dabbah,31,18.033333,
868,Kasea,,GPS,Northern,El Dabbah,30.766667,18.183333,
869,Mansur koti,,GPS,Northern,El Dabbah,31.333333,18.033333,
870,Nizeiza,,GPS,Northern,El Dabbah,31.283333,18.033333,
871,Tangasi island,,GPS,Northern,El Dabbah,30.817153,18.135104,
872,Terqis,,GPS,Northern,El Dabbah,31.05,18.016667,
873,El ghabah,,Calculated,Northern,El Dabbah,30.753931,18.159697,
874,Gabriya,,Calculated,Northern,El Dabbah,30.887021,18.116383,
875,Affad,,GPS,Northern,El Dabbah,31.183333,18.016667,
876,Abu gussi,,GPS,Northern,El Dabbah,30.766667,18.133333,
877,Argi,,GPS,Northern,El Dabbah,30.95,18.083333,
878,Banganarti,,GPS,Northern,El Dabbah,30.783333,18.166667,
879,Bayyudab,,GPS,Northern,El Dabbah,30.833333,18.166667,
880,Ed debba,,GPS,Northern,El Dabbah,30.95,18.05,
881,Island el fung,,GPS,Northern,El Dabbah,31.1,18.016667,
882,Faqrinkotti,,GPS,Northern,El Dabbah,31.333333,18.016667,
883,Fundj,,GPS,Northern,El Dabbah,30.883333,18.15,
884,Hamur,,GPS,Northern,El Dabbah,30.766667,18.166667,
885,Gharb,,GPS,Northern,El Dabbah,30.733333,18.2,
886,Girra barra,,GPS,Northern,El Dabbah,31.05,18.033333,
887,Dabbat al kharsh,,GPS,Northern,El Dabbah,29.966667,17.216667,
888,Qawz dar al humr,,GPS,Northern,El Dabbah,29.766667,17.3,
889,Nusub el kelashob,,GPS,Northern,El Dabbah,30.583333,17.283333,
890,Kababish,,GPS,Northern,El Dabbah,30.25,17.5,
891,Barqat el kafari,,GPS,Northern,El Dabbah,31.033333,17.716667,
892,Kafriyat,,GPS,Northern,El Dabbah,31,17.85,
893,Kufriyat el atash,,GPS,Northern,El Dabbah,31.05,17.783333,
894,Kufriyat er rawiyan,,GPS,Northern,El Dabbah,31.033333,17.883333,
895,Barqat el merafir,,GPS,Northern,El Dabbah,31.15,17.733333,
896,Idd el mesuttar,,GPS,Northern,El Dabbah,30.983333,17.116667,
897,Karab migra el ghafla,,GPS,Northern,El Dabbah,30.7,17.45,
898,Maaris,,GPS,Northern,El Dabbah,30.216667,17.016667,
899,Maatul,,GPS,Northern,El Dabbah,30.55,17.583333,
900,Qalaat el malmum,,GPS,Northern,El Dabbah,30.233333,17.5,
901,Lagaia,,GPS,Northern,El Dabbah,30.883333,17.833333,
902,Musettar,,GPS,Northern,El Dabbah,30.633333,17.216667,
903,Saiya el fezzah,,GPS,Northern,El Dabbah,30.7,17.583333,
904,Qanatti,,GPS,Northern,El Dabbah,31.216667,17.966667,
905,Soteir,,GPS,Northern,El Dabbah,30.4,17.05,
906,Barqat es sergein,,GPS,Northern,El Dabbah,31.216667,17.9,
907,Shaigia,,GPS,Northern,El Dabbah,31.133333,17.55,
908,Qalat esh shibeik,,GPS,Northern,El Dabbah,30.283333,17.016667,
909,Umetto,,GPS,Northern,El Dabbah,30.216667,17.216667,
910,Umm bani,,GPS,Northern,El Dabbah,30.966667,17.883333,
911,Umm beleila,,GPS,Northern,El Dabbah,30.766667,17.533333,
912,Burg et tani,,GPS,Northern,El Dabbah,30.466667,17.616667,
913,Barqat et teital,,GPS,Northern,El Dabbah,31.216667,17.65,
914,Umm dedian,,GPS,Northern,El Dabbah,30.883333,17.933333,
915,Barqat umm saiyal,,GPS,Northern,El Dabbah,31.216667,17.783333,
916,Idd el turk,,GPS,Northern,El Dabbah,31.183333,17.416667,
917,Nasb walab mulwal,,GPS,Northern,El Dabbah,31.116667,17.016667,
918,Barqat widei dahi,,GPS,Northern,El Dabbah,31.416667,17.8,
919,Uqdi,,GPS,Northern,El Dabbah,30.616667,17.616667,
920,Waart el bir,,GPS,Northern,El Dabbah,30.933333,17.95,
921,Abu saiyal,,GPS,Northern,El Dabbah,31.2,17.316667,
922,Karabat abu saiyal,,GPS,Northern,El Dabbah,31.116667,17.283333,
923,Barqat abd el `ali,,GPS,Northern,El Dabbah,31.216667,17.85,
924,Abu sideir,,Calculated,Northern,El Dabbah,31.458333,17.116667,
925,Abu dawm,,Calculated,Northern,El Dabbah,31.208333,17.95,
926,Bir abu garad,,GPS,Northern,El Dabbah,30.633333,17.333333,
927,Qarn abu hajlij,,GPS,Northern,El Dabbah,31.283333,17.083333,
928,El ahamidah suwarab,,GPS,Northern,El Dabbah,31,17.35,
929,Buruq el baqar,,GPS,Northern,El Dabbah,31.183333,17.75,
930,Artimoga,,GPS,Northern,El Dabbah,31.283333,17.983333,
931,Nusub ashmeik,,GPS,Northern,El Dabbah,30.4,17.566667,
932,Burayqah,,GPS,Northern,El Dabbah,31.216667,17.033333,
933,Ed dau el hafir,,GPS,Northern,El Dabbah,30.683333,17.4,
934,Ed deiqa,,GPS,Northern,El Dabbah,31.25,17.833333,
935,El hadeidiat,,GPS,Northern,El Dabbah,31.016667,17.083333,
936,El hosh,,GPS,Northern,El Dabbah,31.383333,17.266667,
937,Foga,,GPS,Northern,El Dabbah,30.583333,17.233333,
938,Nasb gabakallah,,GPS,Northern,El Dabbah,31.216667,17.516667,
939,El leheiwa,,GPS,Northern,El Dabbah,31.216667,17.883333,
940,El majaghata,,GPS,Northern,El Dabbah,31.183333,17.483333,
941,El ubeiriq,,GPS,Northern,El Dabbah,30.433333,17.433333,
942,El udeid,,GPS,Northern,El Dabbah,30.9,17.966667,
943,El zalata,,GPS,Northern,El Dabbah,30.783333,17.75,
944,Er ruweiga,,GPS,Northern,El Dabbah,30.9,17.9,
945,Hatt al harbah,,GPS,Northern,El Dabbah,30.4,17.483333,
946,Idd al gibna,,GPS,Northern,El Dabbah,30.733333,17.466667,
947,Goshabi,,Calculated,Northern,El Dabbah,31.091667,17.975,
948,Bi'r al hisan,,GPS,Northern,El Dabbah,31,17.383333,
949,Karabat idd at tor,,GPS,Northern,El Dabbah,31.116667,17.383333,
950,Idein el alag,,GPS,Northern,El Dabbah,30.566667,17.266667,
951,Nasb al ukhayrish,,GPS,Northern,El Dabbah,31.833333,17.066667,
952,Bi'r zamzam,,GPS,Northern,El Dabbah,31.666667,17.4,
953,Nasb al abid,,GPS,Northern,El Dabbah,31.7,17.533333,
954,Karabat abu sudayr,,Calculated,Northern,El Dabbah,31.841667,17.116667,
955,Hawawir,,GPS,Northern,El Dabbah,31.75,17,
956,Barkol al gafal,,GPS,Northern,El Dabbah,29,16.716667,
957,Karkur hills,,GPS,Northern,El Dabbah,30.25,16.833333,
958,Sarhat an nasa'ib,,GPS,Northern,El Dabbah,31.116667,16.533333,
959,Karabat qumr,,GPS,Northern,El Dabbah,31.466667,16.616667,
960,Shaqq umm banun,,GPS,Northern,El Dabbah,31.1,16.966667,
961,Teras amara,,GPS,Northern,El Dabbah,31.416667,16.583333,
962,Bi'r simriya,,GPS,Northern,El Dabbah,31.016667,16.983333,
963,Umm halafi,,GPS,Northern,El Dabbah,31.283333,16.883333,
964,Debba walad mana,,GPS,Northern,El Dabbah,30.116667,16.933333,
965,Bi'r umm surib,,GPS,Northern,El Dabbah,30.266667,16.966667,
966,Qalat umm surib,,GPS,Northern,El Dabbah,30.133333,16.933333,
967,Umm tundub,,GPS,Northern,El Dabbah,30.166667,16.866667,
968,Qalat abu sakhal,,GPS,Northern,El Dabbah,30.366667,16.933333,
969,Karabat abu ushar,,Calculated,Northern,El Dabbah,31.494444,16.55,
970,Karabat abu hashim,,GPS,Northern,El Dabbah,31.233333,16.833333,
971,Idd abu inderab,,GPS,Northern,El Dabbah,31.483333,16.833333,
972,Awadun hills,,GPS,Northern,El Dabbah,30.033333,16.6,
973,Shaqq ed domi,,GPS,Northern,El Dabbah,31.133333,16.916667,
974,Burug el qureinat,,Calculated,Northern,El Dabbah,30.583333,16.625,
975,El amri,,GPS,Northern,El Dabbah,30.766667,16.95,
976,El gammam,,GPS,Northern,El Dabbah,31.15,16.633333,
977,El qata,,GPS,Northern,El Dabbah,31.466667,16.683333,
978,El qureinat,,GPS,Northern,El Dabbah,30.633333,16.6,
979,Bi'r hasanawi,,GPS,Northern,El Dabbah,31.2,16.65,
980,Ilay,,GPS,Northern,El Dabbah,30.9,16.55,
981,Sueiga,,GPS,Northern,El Dabbah,31.583333,16.75,
982,Riqreiqa,,GPS,Northern,El Dabbah,31.583333,16.866667,
983,Id umm aqarib,,GPS,Northern,El Dabbah,31.633333,16.833333,
984,Umm ratot,,GPS,Northern,El Dabbah,31.65,16.95,
985,Umm rumaylah,,GPS,Northern,El Dabbah,31.666667,16.916667,
986,Qoz el abarib,,GPS,Northern,El Dabbah,31.616667,16.616667,
987,Bi'r amin allah,,GPS,Northern,El Dabbah,31.783333,16.783333,
988,Er riqreiqa,,GPS,Northern,El Dabbah,31.666667,16.833333,
989,Abu haraz,,GPS,Northern,Merawi,32.116667,19.066667,
990,Janbi al aghbash,,GPS,Northern,Merawi,31.2,18.55,
991,Janbi al azraq,,GPS,Northern,Merawi,31.166667,18.45,
992,Kulud,,GPS,Northern,Merawi,31.366667,18.016667,
993,Kulud island,,GPS,Northern,Merawi,31.366667,18.033333,
994,Kuri,,GPS,Northern,Merawi,31.433333,18.05,
995,Mugaddam,,GPS,Northern,Merawi,31.5,18.066667,
996,Mura,,GPS,Northern,Merawi,31.483333,18.066667,
997,Barq en nisf,,GPS,Northern,Merawi,31.166667,18.433333,
998,Tani,,GPS,Northern,Merawi,31.416667,18.016667,
999,Umm madram,,GPS,Northern,Merawi,31.283333,18.633333,
1000,Barq umm shaykh,,GPS,Northern,Merawi,31.316667,18.383333,
1001,Barqat el hawiya,,GPS,Northern,Merawi,31.45,18.716667,
1002,Huseinarti,,GPS,Northern,Merawi,31.416667,18.033333,
1003,Barq el hamal,,GPS,Northern,Merawi,31.25,18.55,
1004,Khobara and hamamir,,GPS,Northern,Merawi,32.5,18.5,
1005,Jurayf,,GPS,Northern,Merawi,31.866667,18.533333,
1006,Korai,,GPS,Northern,Merawi,31.733333,18.316667,
1007,Burqat korai,,GPS,Northern,Merawi,31.8,18.3,
1008,Karima,,GPS,Northern,Merawi,31.85,18.55,
1009,Kassingar,,GPS,Northern,Merawi,31.9,18.75,
1010,Messawi,,GPS,Northern,Merawi,31.666667,18.2,
1011,Mis island,,GPS,Northern,Merawi,32.216667,18.916667,
1012,Magal,,GPS,Northern,Merawi,31.666667,18.266667,
1013,Mahrusa island,,GPS,Northern,Merawi,31.582092,18.142214,
1014,Masawi island,,GPS,Northern,Merawi,31.666667,18.233333,
1015,Nuri,,GPS,Northern,Merawi,31.9,18.55,
1016,Nasib ed danab,,GPS,Northern,Merawi,32.066667,18.016667,
1017,Saffi island,,GPS,Northern,Merawi,32.016667,18.783333,
1018,Sagag,,GPS,Northern,Merawi,31.85,18.533333,
1019,Saiyid leban,,GPS,Northern,Merawi,31.75,18.616667,
1020,Salam,,GPS,Northern,Merawi,31.916667,18.166667,
1021,Sanam abu-dom,,GPS,Northern,Merawi,31.8,18.466667,
1022,Rekabiya awatad island,,GPS,Northern,Merawi,31.512379,18.075807,
1023,Burqat as sulaym,,GPS,Northern,Merawi,31.9,18.1,
1024,Shaiqiya,,GPS,Northern,Merawi,31.75,18.25,
1025,Burqat ash shawl,,GPS,Northern,Merawi,31.616667,18.583333,
1026,Uli island,,GPS,Northern,Merawi,32.033333,18.766667,
1027,Bir et tawila,,GPS,Northern,Merawi,32.4,18.133333,
1028,Umm deras island,,GPS,Northern,Merawi,32.1,18.85,
1029,Umm gebeir island,,GPS,Northern,Merawi,32.2,18.916667,
1030,Umm kumbatut island,,GPS,Northern,Merawi,32.15,18.9,
1031,Umm rahau,,GPS,Northern,Merawi,32.033333,18.9,
1032,Tulbenab island,,GPS,Northern,Merawi,31.783333,18.416667,
1033,Tureng island,,GPS,Northern,Merawi,31.95,18.583333,
1034,Zuma,,GPS,Northern,Merawi,31.75,18.366667,
1035,Umm sayyalah,,GPS,Northern,Merawi,32.016667,18.383333,
1036,Umm suyuf island,,GPS,Northern,Merawi,31.616667,18.183333,
1037,Umm tibr island,,GPS,Northern,Merawi,32.016667,18.6,
1038,Usli,,GPS,Northern,Merawi,31.65,18.216667,
1039,Utmari island,,GPS,Northern,Merawi,31.933333,18.583333,
1040,Bir wad ab hagar,,GPS,Northern,Merawi,32.216667,18.233333,
1041,Marawi,,Calculated,Northern,Merawi,31.822175,18.489764,
1042,Hawsh al juruf,,Calculated,Northern,Merawi,32.250805,18.91756,
1043,Kuraymah barkal,,GPS,Northern,Merawi,31.855921,18.562534,
1044,Tangasi ar ru ays,,GPS,Northern,Merawi,31.795927,18.391727,
1045,Samareit,,Calculated,Northern,Merawi,31.771183,18.388612,
1046,Magashi,,Calculated,Northern,Merawi,31.732283,18.344378,
1047,Gureir,,Calculated,Northern,Merawi,31.705924,18.28707,
1048,Kanisah,,Calculated,Northern,Merawi,31.676626,18.255476,
1049,Hujayr,,Calculated,Northern,Merawi,31.63559,18.232113,
1050,Kurti,,Calculated,Northern,Merawi,31.5593,18.112253,
1051,Abu rannat island,,GPS,Northern,Merawi,31.766667,18.366667,
1052,Badri island,,GPS,Northern,Merawi,32,18.583333,
1053,Bakhit,,GPS,Northern,Merawi,31.683333,18.3,
1054,Amri,,GPS,Northern,Merawi,32.133333,18.9,
1055,Angalafib,,GPS,Northern,Merawi,32.516667,18.466667,
1056,Dahasira,,GPS,Northern,Merawi,31.766667,18.383333,
1057,Bl mish island,,GPS,Northern,Merawi,32.116667,18.883333,
1058,El kuru,,GPS,Northern,Merawi,31.766667,18.4,
1059,Dom basin,,GPS,Northern,Merawi,31.716667,18.3,
1060,Et tuweina,,GPS,Northern,Merawi,32.533333,18.016667,
1061,Ed debeiba,,GPS,Northern,Merawi,31.8,18.45,
1062,Ed duweim,,GPS,Northern,Merawi,31.833333,18.5,
1063,El arag,,GPS,Northern,Merawi,31.616667,18.2,
1064,El arian,,GPS,Northern,Merawi,31.766667,18.333333,
1065,El arki,,GPS,Northern,Merawi,31.533333,18.116667,
1066,El bar,,GPS,Northern,Merawi,31.55,18.133333,
1067,El barsa,,GPS,Northern,Merawi,31.566667,18.133333,
1068,El basa,,GPS,Northern,Merawi,31.616667,18.166667,
1069,El bellal,,GPS,Northern,Merawi,32,18.533333,
1070,Fitna,,GPS,Northern,Merawi,31.8,18.433333,
1071,Gararish,,GPS,Northern,Merawi,31.666667,18.333333,
1072,Nusayb al gariz,,Calculated,Northern,Merawi,31.825,18.033333,
1073,En nafab,,GPS,Northern,Merawi,31.516667,18.1,
1074,Hamdab,,Calculated,Northern,Merawi,32.05,18.65,
1075,Hannik,,GPS,Northern,Merawi,32.2,18.266667,
1076,Hawashab,,GPS,Northern,Merawi,32,18.333333,
1077,Genana island,,GPS,Northern,Merawi,31.756094,18.348533,
1078,Ghazali,,GPS,Northern,Merawi,31.95,18.433333,
1079,Gowari,,GPS,Northern,Merawi,31.533333,18.083333,
1080,Kandi island,,GPS,Northern,Merawi,32.133333,18.866667,
1081,Karafab,,GPS,Northern,Merawi,31.6,18.166667,
1082,Hezeima,,GPS,Northern,Merawi,31.716667,18.333333,
1083,Igri island,,GPS,Northern,Merawi,31.966667,18.566667,
1084,Ishashi island,,GPS,Northern,Merawi,32.216667,18.9,
1085,Karabat en noq,,GPS,Northern,Merawi,31.466667,17.983333,
1086,Kalas,,GPS,Northern,Merawi,32.55,17.95,
1087,Meglik,,GPS,Northern,Merawi,32.5,17.766667,
1088,Qala el mermidi,,GPS,Northern,Merawi,32.55,17.633333,
1089,Nusub el hurba,,GPS,Northern,Merawi,32.266667,17.616667,
1090,Karabat muqaddam,,GPS,Northern,Merawi,31.733333,17.716667,
1091,Umara,,GPS,Northern,Merawi,32.633333,17.8,
1092,Umm en nasaib,,GPS,Northern,Merawi,32.116667,17.433333,
1093,Umm hegeib,,GPS,Northern,Merawi,31.983333,17.766667,
1094,Umm nasaib,,GPS,Northern,Merawi,32.116667,17.366667,
1095,Umm sudayr,,GPS,Northern,Merawi,32.116667,17.35,
1096,Umm tub,,GPS,Northern,Merawi,31.716667,17.65,
1097,Sani abu rughaywah,,GPS,Northern,Merawi,32.133333,17.816667,
1098,Abu aleik wells,,GPS,Northern,Merawi,32.416667,17.8,
1099,Adara,,GPS,Northern,Merawi,32.116667,17.833333,
1100,Adat matar,,GPS,Northern,Merawi,31.666667,17.85,
1101,Bayyudah,,GPS,Northern,Merawi,32.116667,17.533333,
1102,El huwaiyir,,GPS,Northern,Merawi,32.3,17.833333,
1103,El lagadib,,GPS,Northern,Merawi,32.583333,17.8,
1104,El massalima,,GPS,Northern,Merawi,32.283333,17.783333,
1105,El murshedat,,GPS,Northern,Merawi,32.416667,17.666667,
1106,Kanailobi,,GPS,Northern,Merawi,32.583333,17.816667,
1107,Karaba tahir,,GPS,Northern,Merawi,31.95,17.733333,
1108,Id megalia,,GPS,Northern,Merawi,31.833333,17.95,
1109,Idrisab suwarab,,GPS,Northern,Merawi,32.016667,17.733333,
1110,Qirwid,,GPS,Northern,Dongola,29.933333,19.066667,
1111,El iqlim ash shamali,,GPS,Northern,Dongola,30,19,
1112,Shamsi,,GPS,Northern,Dongola,29.9,19.05,
1113,Tarfawi,,GPS,Northern,Dongola,29.95,19.316667,
1114,Dakar al arak,,GPS,Northern,Dongola,29.683333,19.116667,
1115,El batha,,GPS,Northern,Dongola,29.716667,19.05,
1116,Kerma basin,,GPS,Northern,Dongola,30.483333,19.383333,
1117,Khana,,GPS,Northern,Dongola,30.483333,19.133333,
1118,Kimnar,,GPS,Northern,Dongola,30.466667,19.433333,
1119,Koban and sorog,,GPS,Northern,Dongola,30.366667,19.616667,
1120,Nusub kodris,,GPS,Northern,Dongola,30.266667,19.1,
1121,Korba,,GPS,Northern,Dongola,30.4,19.483333,
1122,Kubtot,,GPS,Northern,Dongola,30.433333,19.216667,
1123,Kulumesid,,GPS,Northern,Dongola,30.45,19.3,
1124,Kurumbeti,,GPS,Northern,Dongola,30.066667,19.1,
1125,Karabat el milh,,GPS,Northern,Dongola,30.05,19.15,
1126,Magassir island,,GPS,Northern,Dongola,30.483333,19.233333,
1127,Maragha,,GPS,Northern,Dongola,30.45,19.2,
1128,Marawarti,,GPS,Northern,Dongola,30.416667,19.483333,
1129,Bir el murra,,GPS,Northern,Dongola,30.466667,19.6,
1130,Mushu,,GPS,Northern,Dongola,30.383333,19.566667,
1131,Qarada,,GPS,Northern,Dongola,30.45,19.266667,
1132,Bi'r qizan al hamir,,GPS,Northern,Dongola,30.583333,19.366667,
1133,Sortot,,Calculated,Northern,Dongola,30.458333,19.016667,
1134,Sulaym,,GPS,Northern,Dongola,30.516667,19.15,
1135,Tahtam island,,GPS,Northern,Dongola,30.483333,19.266667,
1136,Serrar,,GPS,Northern,Dongola,30.2,19.316667,
1137,Shaykh sharif,,GPS,Northern,Dongola,30.45,19.1,
1138,Bi'r shetilat,,GPS,Northern,Dongola,30.633333,19.016667,
1139,Bi'r al ulaymat,,GPS,Northern,Dongola,30.6,19.283333,
1140,Bi'r teleit,,GPS,Northern,Dongola,30.25,19.2,
1141,Timinar,,GPS,Northern,Dongola,30.483333,19.033333,
1142,Bir umm gassab,,GPS,Northern,Dongola,30.616667,19.233333,
1143,Umm hillal,,GPS,Northern,Dongola,30.133333,19.083333,
1144,Zeheiliya,,GPS,Northern,Dongola,30.083333,19.2,
1145,Wad said,,GPS,Northern,Dongola,30.083333,19.05,
1146,Bir uqud en nom,,GPS,Northern,Dongola,30.533333,19.466667,
1147,Argo,,Calculated,Northern,Dongola,30.417203,19.521732,
1148,Dongola,,Calculated,Northern,Dongola,30.474265,19.184224,
1149,Kerma,,Calculated,Northern,Dongola,30.411921,19.631536,
1150,El koin,,Calculated,Northern,Dongola,30.480712,19.336399,
1151,Abu naml,,GPS,Northern,Dongola,30.25,19.4,
1152,Bir abu rai,,GPS,Northern,Dongola,30.616667,19.2,
1153,Abatta,,GPS,Northern,Dongola,30.483333,19.516667,
1154,Agada,,GPS,Northern,Dongola,30.466667,19.283333,
1155,Anguri,,GPS,Northern,Dongola,30.466667,19.416667,
1156,Jezira argo,,GPS,Northern,Dongola,30.45,19.416667,
1157,Argosab west,,GPS,Northern,Dongola,30.383333,19.533333,
1158,Bi'r al alam,,GPS,Northern,Dongola,30.633333,19.083333,
1159,Bi'r ad dafain,,GPS,Northern,Dongola,30.5,19.566667,
1160,Dar al awada,,GPS,Northern,Dongola,30.45,19.5,
1161,Dar kadreis,,GPS,Northern,Dongola,30.083333,19.033333,
1162,Bayud,,GPS,Northern,Dongola,30.466667,19.533333,
1163,Bayyudah,,GPS,Northern,Dongola,30.116667,19.25,
1164,Bi'r bayyudah,,GPS,Northern,Dongola,30.1,19.216667,
1165,Bergeig,,GPS,Northern,Dongola,30.433333,19.55,
1166,Berkia,,GPS,Northern,Dongola,30.4,19.55,
1167,Bisharin,,GPS,Northern,Dongola,31.166667,19.5,
1168,Artigashi island,,GPS,Northern,Dongola,30.416667,19.566667,
1169,Asala,,GPS,Northern,Dongola,30.183333,19.35,
1170,Derar el kebir island,,GPS,Northern,Dongola,30.466667,19,
1171,Bir ed digania,,Calculated,Northern,Dongola,30.558333,19.408333,
1172,Dongola island,,GPS,Northern,Dongola,30.5,19.15,
1173,Dongola reach,,GPS,Northern,Dongola,30.5,19.25,
1174,Bullinarti,,GPS,Northern,Dongola,30.4,19.533333,
1175,Bi'r buwayrah,,GPS,Northern,Dongola,30.266667,19.316667,
1176,Et tura,,GPS,Northern,Dongola,30.466667,19.316667,
1177,Ez zawarat,,GPS,Northern,Dongola,30.45,19.35,
1178,Bi'r ad duweiga,,GPS,Northern,Dongola,30.516667,19.5,
1179,Galf island,,GPS,Northern,Dongola,30.416667,19.5,
1180,Gawabra,,GPS,Northern,Dongola,30.25,19.5,
1181,El laqiya,,GPS,Northern,Dongola,30.25,19.466667,
1182,El mangur,,GPS,Northern,Dongola,30.216667,19.366667,
1183,El urdi,,GPS,Northern,Dongola,30.45,19.166667,
1184,Es sawani,,GPS,Northern,Dongola,30.083333,19.066667,
