ID,Village,Pop,Source,State,Locality,X,Y,Remarks
96,Tukayl,,GPS,White Nile,Kosti,32.716667,12.466667,
97,Tuwaiyil,,GPS,White Nile,Kosti,31.95,12.816667,
98,Zemzemiya,,GPS,White Nile,Kosti,32.616667,12.95,
99,Zuleit,,GPS,White Nile,Kosti,32.75,12.816667,
100,War,,GPS,White Nile,Kosti,32.483333,12.616667,
101,Umm seraih,,GPS,White Nile,Kosti,32.3,12.433333,
102,Umm shukkaba,,GPS,White Nile,Kosti,31.833333,12.933333,
103,Umm sirha,,GPS,White Nile,Kosti,32.133333,12.466667,
104,Umm subagha,,GPS,White Nile,Kosti,32.333333,12.383333,
105,Idd umm subagha,,GPS,White Nile,Kosti,32.25,12.483333,
106,Umm sunqur,,GPS,White Nile,Kosti,32.733333,12.666667,
107,Umm suriba,,GPS,White Nile,Kosti,32.183333,12.366667,
108,Umm theiran,,GPS,White Nile,Kosti,32.483333,12.7,
109,Idd umm za`af,,GPS,White Nile,Kosti,32.633333,12.983333,
110,Nyala,,NIMA GAZETTEER,White Nile,Kosti,32.15,12.06333,
111,El nahud,,NIMA GAZETTEER,White Nile,Kosti,32.24252,12.66667,
112,Dereia,,Calculated,White Nile,Kosti,32.634027,12.120723,
113,Er rashidi,,Calculated,White Nile,Kosti,32.666508,12.219343,
114,Esh shush,,Calculated,White Nile,Kosti,32.652945,12.262938,
115,Jadid,,Calculated,White Nile,Kosti,32.230352,12.918396,
116,Asuda,,Calculated,White Nile,Kosti,32.553858,12.889805,
117,El gharaniq,,GPS,White Nile,Kosti,32.673447,12.365308,
118,Ar ruat,,GPS,White Nile,Kosti,32.267948,12.305783,
119,Abu rakhia,,GPS,White Nile,Kosti,32.3,12.3,
120,Abu rukba,,GPS,White Nile,Kosti,32,12.933333,
121,Abu shagar,,GPS,White Nile,Kosti,32.733333,12.516667,
122,Adar al gufr,,GPS,White Nile,Kosti,31.683333,12.766667,
123,Aifis,,GPS,White Nile,Kosti,31.866667,12.866667,
124,Aradeiba,,GPS,White Nile,Kosti,32.333333,12.25,
125,Qawz al ajib,,GPS,White Nile,Kosti,32.616667,12.383333,
126,Akafi,,GPS,White Nile,Kosti,32.333333,12.4,
127,Dar aqil,,GPS,White Nile,Kosti,32,12.733333,
128,Dar el ahamda,,GPS,White Nile,Kosti,32.25,12.416667,
129,Idd al bang,,GPS,White Nile,Kosti,32.6,12.483333,
130,Barak ath thawr,,GPS,White Nile,Kosti,32.033333,12.933333,
131,Basham,,GPS,White Nile,Kosti,32.133333,12.766667,
132,Bint ghanais,,GPS,White Nile,Kosti,32.516667,12.683333,
133,Bint ruqaiya,,GPS,White Nile,Kosti,32.266667,12.466667,
134,Qawz al bi'r,,GPS,White Nile,Kosti,32.283333,12.5,
135,Deim el khalifa,,GPS,White Nile,Kosti,32.35,12.883333,
136,Duqul,,GPS,White Nile,Kosti,32.433333,12.716667,
137,Bukra,,GPS,White Nile,Kosti,31.716667,12.866667,
138,Es simein,,GPS,White Nile,Kosti,32.083333,12.75,
139,Et tebeldiya,,GPS,White Nile,Kosti,31.683333,12.683333,
140,Ed debeibat,,GPS,White Nile,Kosti,32.533333,12.816667,
141,Ed dibeikir,,Calculated,White Nile,Kosti,32.375,12.5,
142,El fanadik,,GPS,White Nile,Kosti,31.966667,12.7,
143,El gedul,,GPS,White Nile,Kosti,32.35,12.316667,
144,El ghila,,GPS,White Nile,Kosti,32.283333,12.233333,
145,El hamra,,GPS,White Nile,Kosti,32.4,12.733333,
146,El hu,,GPS,White Nile,Kosti,32.366667,12.766667,
147,Fawat al lidaya,,GPS,White Nile,Kosti,31.7,12.7,
148,Geddara,,GPS,White Nile,Kosti,32.283333,12.866667,
149,El qala,,GPS,White Nile,Kosti,32.366667,12.216667,
150,El warral,,GPS,White Nile,Kosti,32.733333,12.716667,
151,Er ruaat,,GPS,White Nile,Kosti,32.283333,12.35,
152,Adid hammad,,GPS,White Nile,Kosti,32.133333,12.6,
153,Gharaq,,GPS,White Nile,Kosti,32.5,12.666667,
154,Ghubaysh,,GPS,White Nile,Kosti,32.316667,12.516667,
155,Idd al gim,,GPS,White Nile,Kosti,32.316667,12.616667,
156,Idd heidub,,GPS,White Nile,Kosti,32.416667,12.35,
157,Hurra,,GPS,White Nile,Kosti,32.116667,12.966667,
158,Muhammad ahmad,,GPS,White Nile,El Jabalian,32.966667,13.4,
159,Muhammadayn,,GPS,White Nile,El Jabalian,32.85,13.35,
160,Muhammad fadl allah,,GPS,White Nile,El Jabalian,32.683333,13.533333,
161,Qafa mahdi,,GPS,White Nile,El Jabalian,32.766667,13.366667,
162,Rashid at tayyib,,GPS,White Nile,El Jabalian,32.9,13.416667,
163,Talaq hadir island,,GPS,White Nile,El Jabalian,32.6,13.45,
164,Shawal,,GPS,White Nile,El Jabalian,32.65,13.566667,
165,Umm barad,,GPS,White Nile,El Jabalian,32.7,13.45,
166,Sibeig,,GPS,White Nile,El Jabalian,32.633333,13.283333,
167,Sifeiya,,GPS,White Nile,El Jabalian,32.933333,13.05,
168,Umm fawara,,GPS,White Nile,El Jabalian,32.65,13.466667,
169,El wilayah al )) (( wusta,,GPS,White Nile,El Jabalian,33,13,
